"Bug编号","所属产品","所属模块","所属项目","相关需求","相关任务","Bug标题","关键词","严重程度","优先级","Bug类型","操作系统","浏览器","重现步骤","Bug状态","截止日期","激活次数","是否确认","抄送给","由谁创建","创建日期","影响版本","指派给","指派日期","解决者","解决方案","解决版本","解决日期","由谁关闭","关闭日期","重复ID","相关Bug","相关用例","最后修改者","修改日期","附件"
"1683","AC-直播学生端(#10)","通用(#16)","AC_iPad_1.1.0(#60)","","","作业完成之后，作业光圈仍闪烁","","3","3","代码错误","","","[步骤]
进入课程详情
预习或者做完作业，回到详情界面，仍显示未完成（需要做一次刷新）


[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2018-10-26","iPad1.1-10-26测试(#93)","Closed","2018-10-27","龚慧超","已解决","iPad1.1-10-26测试(#93)","2018-10-26","carriere.zhang","2018-10-27","0","","","carriere.zhang","2018-10-27","",""
"1684","AC-直播学生端(#10)","通用(#16)","AC_iPad_1.1.0(#60)","","","正式服----首页，点击预习后，会回滚到中间的位置","","3","3","代码错误","IOS","","[步骤]
正式服----首页，点击预习后，会回滚到中间的位置


[结果]
[期望]
从其他界面回到首页的时候，需要翻到第一节课的位置","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2018-10-26","iPad1.1-10-26测试(#93)","Closed","2018-10-27","龚慧超","已解决","iPad1.1-10-26测试(#93)","2018-10-26","carriere.zhang","2018-10-27","0","","","carriere.zhang","2018-10-27","",""
"1686","AC-直播学生端(#10)","通用(#16)","AC_iPad_1.1.2(#98)","","","快速点击“课堂回放”按钮，执行了2次进入回放的动作","","3","3","代码错误","IOS","","[步骤]
快速点击“课堂回放”按钮，执行了2次进入回放的动作（偶现）
现象是，第一个回放界面刚打开，从左边再次打开了第2个回放界面，点击返回，第一个回放界面弹出“已完成课堂回放”的弹框（未截到图）
[结果]
[期望]","已关闭","0000-00-00","3","已确认",",","carriere.zhang","2018-10-26","AC_iPad1.1.2_1121(#169)","Closed","2018-12-20","龚慧超","不予解决","","2018-12-07","carriere.zhang","2018-12-20","0","","","carriere.zhang","2018-12-20","",""
"1691","AC-直播学生端(#10)","通用(#16)","AC_iPhone_1.1.0(#59)","","","体验问题：完善信息界面iphone 在编辑英文名时，保存按钮会被输入法挡住?","","3","3","界面优化","","","[步骤]
完善信息界面
先选了生日
在编辑英文名后，保存按钮会被输入法挡住
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2018-10-26","AC_iphone1.1_10.26(#98)","Closed","2018-10-27","俞立荣","已解决","AC_iphone1.1_10.27(#99)","2018-10-27","carriere.zhang","2018-10-27","0","","","carriere.zhang","2018-10-27","",""
"1694","AC-直播学生端(#10)","通用(#16)","AC_Windows_1.1.0(#61)","","","L0课程下课不再弹去做作业弹窗。","","3","3","代码错误","Windows","","[步骤]
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-26","主干(#trunk)","Closed","2018-10-29","马瑞君","已解决","主干(#trunk)","2018-10-26","许宁","2018-10-29","0","","","许宁","2018-10-29","",""
"1698","AC-直播学生端(#10)","通用(#16)","AC_iPad_1.1.0(#60)","","","正式服-完善信息时 生日填写L1的生日，进入首页显示阶段为L0","","3","3","代码错误","","","[步骤]
正式服-完善信息时 生日填写L1的生日，进入首页显示阶段为L0
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2018-10-26","iPad1.1-10-26测试(#93)","Closed","2018-10-27","杨庆磊","已解决","主干(#trunk)","2018-10-26","carriere.zhang","2018-10-27","0","","","carriere.zhang","2018-10-27","",""
"1699","AC-直播学生端(#10)","通用(#16)","AC_Windows_1.1.0(#61)","","","绘本看完后，还是显示未完成绘本。","","3","3","代码错误","Windows","","[步骤]
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-26","主干(#trunk)","Closed","2018-10-29","马瑞君","已解决","主干(#trunk)","2018-10-27","许宁","2018-10-29","0","","","许宁","2018-10-29","",""
"1700","AC-直播学生端(#10)","通用(#16)","AC_iPad_1.1.0(#60)","","","正式服--新用户首次登陆时，没有首次登陆弹窗","","3","3","代码错误","IOS","","[步骤]
新用户首次登陆时，没有首次登陆弹窗
iphone和ipad
[结果]
[期望]","已关闭","0000-00-00","1","已确认",",","carriere.zhang","2018-10-26","iPad1.1-10-26测试(#93)","Closed","2018-10-27","龚慧超","已解决","iPad1.1-10-25测试(#92)","2018-10-26","carriere.zhang","2018-10-27","0","","","carriere.zhang","2018-10-27","",""
"1701","AC-直播学生端(#10)","通用(#16)","AC_iPhone_1.1.0(#59)","","","当没有课的时候，IPhone首页底部显示有按钮，点击闪退","","4","4","代码错误","","","[步骤]
当没有课的时候，IPhone首页底部显示有按钮，点击闪退
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2018-10-26","AC_iphone1.1_10.26(#98)","Closed","2018-10-27","俞立荣","已解决","AC_iphone1.1_10.27(#99)","2018-10-27","carriere.zhang","2018-10-27","0","","","carriere.zhang","2018-10-27","",""
"1703","AC-直播学生端(#10)","通用(#16)","AC_iPhone_1.1.0(#59)","","","正式服---老用户没有首次上课时间","","3","3","代码错误","","","[步骤]
正式服---老用户没有首次上课时间
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2018-10-26","AC_iphone1.1_10.26(#98)","Closed","2018-10-27","郭栋梁","外部原因","主干(#trunk)","2018-10-27","carriere.zhang","2018-10-27","0","","","carriere.zhang","2018-10-27","",""
"1704","AC-直播学生端(#10)","通用(#16)","AC_iPhone_1.1.0(#59)","","","正式服----L0课次弹出的上课提醒，获取的课次名称错误","","3","3","代码错误","IOS","","[步骤]
正式服----L0课次弹出的上课提醒，获取的课次名称错误
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2018-10-26","AC_iphone1.1_10.26(#98)","Closed","2018-10-27","俞立荣","已解决","AC_iphone1.1_10.27(#99)","2018-10-27","carriere.zhang","2018-10-27","0","","","carriere.zhang","2018-10-27","",""
"1705","AC-直播学生端(#10)","通用(#16)","AC_Android_1.1.0(#63)","","","看完预习给到的弹窗提示错误，当前是提示：“看完了绘本“","","3","3","代码错误","Windows","","[步骤][结果][期望]","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-26","主干(#trunk)","Closed","2018-10-29","xiang.xiang","已解决","v10.27 pm android 1.0.72(#107)","2018-10-27","许宁","2018-10-29","0","","","许宁","2018-10-29","",""
"1707","AC-直播学生端(#10)","通用(#16)","AC_Android_1.1.0(#63)","","","未上课但观看完课程回放后需要将”未上课“切换为已上课状态，显示15颗钻石。","","3","3","代码错误","Windows","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认","杨庆磊,","许宁","2018-10-26","主干(#trunk)","Closed","2018-10-29","郭栋梁","外部原因","主干(#trunk)","2018-10-27","许宁","2018-10-29","0","","","许宁","2018-10-29","",""
"1709","AC-直播学生端(#10)","通用(#16)","AC_iPhone_1.1.0(#59)","","","绘本预习后的 钻石奖励提示语  需要修改","","3","3","代码错误","IOS","","[步骤]
绘本预习后的 钻石奖励提示语  需要修改
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2018-10-26","AC_iphone1.1_10.26(#98)","Closed","2018-10-27","俞立荣","已解决","AC_iphone1.1_10.27(#99)","2018-10-27","carriere.zhang","2018-10-27","0","","","carriere.zhang","2018-10-27","",""
"1710","AC-直播学生端(#10)","通用(#16)","AC_Windows_1.0.4(#51)","","","L0测试包翻页、选择页面按钮未隐藏。","","3","3","代码错误","Windows","","[步骤]
[结果]

","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-26","主干(#trunk)","Closed","2018-10-29","马瑞君","已解决","主干(#trunk)","2018-10-26","许宁","2018-10-29","0","","","许宁","2018-10-29","",""
"1711","AC-直播学生端(#10)","通用(#16)","AC_Android_1.1.0(#63)","","","有会员账号我的页面会员中心栏应显示会员到期时间现L0测试包中显示去购买。","","3","3","代码错误","Windows","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-26","主干(#trunk)","Closed","2018-10-29","杨庆磊","已解决","主干(#trunk)","2018-10-27","许宁","2018-10-29","0","","","许宁","2018-10-29","",""
"1712","AC-直播学生端(#10)","通用(#16)","AC_Android_1.1.0(#63)","","","L0测试包安卓端点击刷新按钮会出现一秒钟左右的调试模式下才会出现的翻页按钮，刷新后正常。","","3","3","代码错误","Android","","[步骤][结果][期望]","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-26","主干(#trunk)","Closed","2018-10-29","王宗禹","已解决","主干(#trunk)","2018-10-26","许宁","2018-10-29","0","","","许宁","2018-10-29","",""
"1713","AC-直播学生端(#10)","通用(#16)","AC_Windows_1.1.0(#61)","","","下课弹窗内文案建议两行显示。","","4","4","代码错误","Windows","","[步骤]
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-26","主干(#trunk)","Closed","2018-10-29","姜文乐","已解决","主干(#trunk)","2018-10-27","许宁","2018-10-29","0","","","许宁","2018-10-29","",""
"1718","AC-直播学生端(#10)","通用(#16)","AC_iPhone_1.1.0(#59)","","","课程详情中看完预习后，回到课程详情界面没有进行状态的刷新","","3","3","代码错误","IOS","","[步骤]
课程详情中看完预习后，回到课程详情界面没有进行状态的刷新
[结果]
[期望]
课程详情中看完预习后，回到课程详情界面进行状态的刷新","已关闭","0000-00-00","1","已确认",",","carriere.zhang","2018-10-27","AC-iphone1.1.1 - 11.7(#143)","Closed","2018-11-19","俞立荣","已解决","AC-iphone1.1.1 - 11.7(#143)","2018-11-08","carriere.zhang","2018-11-19","0","","","carriere.zhang","2018-11-19","",""
"1721","AC-直播学生端(#10)","通用(#16)","AC_iPhone_1.1.0(#59)","","","iphone正式服 未开启调试，显示了测试课次","","3","3","代码错误","IOS","","[步骤]
iphone正式服 未开启调试，显示了测试课次
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2018-10-27","主干(#trunk)","Closed","2018-10-27","俞立荣","已解决","AC_iphone1.1_10.27(#99)","2018-10-27","carriere.zhang","2018-10-27","0","","","carriere.zhang","2018-10-27","",""
"1722","AC-直播学生端(#10)","通用(#16)","AC_iPhone_1.1.0(#59)","","","从首页进入学习时，出现获取不到信息的情况（3天测试共出现了4次）","","3","3","代码错误","IOS","","[步骤]
从首页进入学习时，出现获取不到信息的情况（3天测试共出现了4次）
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2018-10-27","AC_iphone1.1_10.27(#99)","Closed","2018-10-27","俞立荣","已解决","AC_iphone1.1_10.27(#99)","2018-10-27","carriere.zhang","2018-10-27","0","","","carriere.zhang","2018-10-27","",""
"1723","AC-直播学生端(#10)","通用(#16)","AC_iPhone_1.1.0(#59)","","","预习绘本没完成，10颗钻石已经发放","","3","3","代码错误","IOS","","[步骤]
预习绘本没完成，10颗钻石已经发放
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2018-10-27","AC_iphone1.1_10.27(#99)","Closed","2018-10-27","俞立荣","已解决","AC_iphone1.1_10.27(#99)","2018-10-27","carriere.zhang","2018-10-27","0","","","carriere.zhang","2018-10-27","",""
"1728","AC-直播学生端(#10)","通用(#16)","AC_iPad_1.1.0(#60)","","","点击置灰的进入教室按钮，tost提示建议修改","","3","3","代码错误","","","[步骤]
点击置灰的进入教室按钮，tost提示建议修改
[结果]
[期望]

tost提示：课前10分钟才能进入教室哦～
","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2018-10-27","iPad1.1-10-27测试(#94)","Closed","2018-10-30","龚慧超","已解决","AC_iPad_1030(#111)","2018-10-30","carriere.zhang","2018-10-30","0","","","carriere.zhang","2018-10-30","",""
"1732","AC-直播学生端(#10)","通用(#16)","AC_iPad_1.1.0(#60)","","","IOS端 回放未完成，钻石已经加上了","","3","3","代码错误","IOS","","[步骤]
回放未完成，钻石已经加上了
[结果]
[期望]","已关闭","0000-00-00","0","已确认","俞立荣,","carriere.zhang","2018-10-27","iPad1.1-10-27测试(#94)","Closed","2018-11-05","龚慧超","已解决","AC_iPad_1030(#111)","2018-10-30","carriere.zhang","2018-11-05","0","","","carriere.zhang","2018-11-05","",""
"1733","AC-直播学生端(#10)","通用(#16)","AC_iPad_1.1.0(#60)","","","课程详情界面的老师名称 显示不全","","3","3","代码错误","IOS","","[步骤]
课程详情界面的老师名称 显示不全
老师名称为LUCY
显示为LUCV
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2018-10-27","iPad1.1-10-27测试(#94)","Closed","2018-11-05","龚慧超","已解决","AC_iPad_1030(#111)","2018-10-30","carriere.zhang","2018-11-05","0","","","carriere.zhang","2018-11-05","",""
"1735","AC-直播学生端(#10)","通用(#16)","AC_iPhone_1.1.0(#59)","","","学习界面--我的课程的封面图 中没有显示课程名称","","3","3","代码错误","","","[步骤]
[结果]
[期望]
","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2018-10-27","AC_iphone1.1_10.27(#99)","Closed","2018-11-05","俞立荣","已解决","AC-iphone1.1.1 - 11.1(#121)","2018-11-01","carriere.zhang","2018-11-05","0","","","carriere.zhang","2018-11-05","",""
"1736","AC-直播学生端(#10)","通用(#16)","AC_iPhone_1.1.0(#59)","","","已开课次中，上滑后 仍可以切换课程阶段","","3","3","代码错误","IOS","","[步骤]
已开课次中，上滑后 仍可以切换课程阶段
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2018-10-27","AC_iphone1.1_10.27(#99)","Closed","2018-11-05","俞立荣","已解决","AC-iphone1.1.1 - 11.1(#121)","2018-11-01","carriere.zhang","2018-11-05","0","","","carriere.zhang","2018-11-05","",""
"1737","AC-直播学生端(#10)","通用(#16)","AC_iPhone_1.1.0(#59)","","","最近学习界面 做完作业，点击课次后，显示界面需要修改","","3","3","代码错误","IOS","","[步骤]
最近学习界面 做完作业，点击课次后，显示界面异需要修改
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2018-10-29","AC_iphone1.1_10.27(#99)","Closed","2018-11-05","俞立荣","已解决","AC-iphone1.1.1 - 11.1(#121)","2018-11-01","carriere.zhang","2018-11-05","0","","","carriere.zhang","2018-11-05","",""
"1738","AC-直播学生端(#10)","通用(#16)","AC_Windows_1.1.0(#61)","","","上课中预习、绘本按钮亮起点击可以进入预习、绘本页。","","3","3","代码错误","Windows","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-29","主干(#trunk)","Closed","2018-10-29","马瑞君","已解决","主干(#trunk)","2018-10-29","许宁","2018-10-29","0","","","许宁","2018-10-29","",""
"1739","AC-直播学生端(#10)","通用(#16)","AC_Android_1.1.0(#63)","","","课程详情页。应当显示当前的课次名称。","","3","3","代码错误","Android","","[步骤]
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-29","主干(#trunk)","Closed","2018-10-29","盛锋","已解决","v10.29 pm android 1.0.73(#108)","2018-10-29","许宁","2018-10-29","0","","","许宁","2018-10-29","",""
"1740","AC-直播学生端(#10)","通用(#16)","AC_iPhone_1.1.0(#59)","","","首页中，课节内容的文字超出显示后没有出现...","","3","3","界面优化","IOS","","[步骤]
首页中，课节内容的文字超出显示后没有出现...
包括中文名、英文名、课节描述
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2018-10-29","AC_iphone1.1_10.27(#99)","Closed","2018-11-06","俞立荣","已解决","AC-iphone1.1.1 - 11.1(#121)","2018-11-01","carriere.zhang","2018-11-06","0","","","carriere.zhang","2018-11-06","",""
"1741","AC-直播学生端(#10)","通用(#16)","AC_Windows_1.1.0(#61)","","","未购课用户在NGK页面滑动鼠标，页面出现异常。","","2","2","代码错误","Windows","全部","[步骤]
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-29","主干(#trunk)","Closed","2018-10-30","马瑞君","已解决","主干(#trunk)","2018-10-30","许宁","2018-10-30","0","","","许宁","2018-10-30","",""
"1742","AC-直播学生端(#10)","通用(#16)","AC_Windows_1.1.0(#61)","","","完善信息页，登陆新用户填写英文名后退出，登陆另一个新的账号重新来到完善信息页之前账号填写的英文名被记住了。","","3","3","代码错误","Windows","","[步骤]
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-29","主干(#trunk)","Closed","2018-10-29","马瑞君","已解决","主干(#trunk)","2018-10-29","许宁","2018-10-29","0","","","许宁","2018-10-29","",""
"1743","AC-直播学生端(#10)","通用(#16)","AC_iPhone_1.1.0(#59)","","","当课节的英文名过长时，UI显示异常","","3","3","界面优化","","","[步骤]
当课节的英文名过长时，UI显示异常
[结果]


[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2018-10-29","AC_iphone1.1_10.27(#99)","Closed","2018-11-05","俞立荣","已解决","AC-iphone1.1.1 - 11.1(#121)","2018-11-01","carriere.zhang","2018-11-05","0","","","carriere.zhang","2018-11-05","",""
"1744","AC-直播学生端(#10)","通用(#16)","AC_Windows_1.1.0(#61)","","","进入作业失败，提示改课程无作业。","","2","2","代码错误","Windows","","[步骤]
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-29","主干(#trunk)","Closed","2018-10-30","马瑞君","已解决","主干(#trunk)","2018-10-29","许宁","2018-10-30","0","","","许宁","2018-10-30","",""
"1745","AC-直播学生端(#10)","通用(#16)","AC_Windows_1.1.0(#61)","","","来到作业页面页面UI异常。","","3","3","代码错误","Windows","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-29","主干(#trunk)","Closed","2018-10-30","马瑞君","已解决","主干(#trunk)","2018-10-29","许宁","2018-10-30","0","","","许宁","2018-10-30","",""
"1747","AC-直播学生端(#10)","通用(#16)","AC_iPhone_1.1.0(#59)","","","会员到期后，我的界面的会员状态需要修改","","3","3","代码错误","IOS","","[步骤]
会员到期后，我的界面的会员状态需要修改
[结果]
会员到期后显示为“去购买”
[期望]
参考蓝湖UI 显示为“已到期”","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2018-10-29","AC_iphone1.1_10.27(#99)","Closed","2018-11-05","俞立荣","已解决","AC-iphone1.1.1 - 11.1(#121)","2018-11-01","carriere.zhang","2018-11-05","0","","","carriere.zhang","2018-11-05","",""
"1749","AC-直播学生端(#10)","通用(#16)","AC_iPhone_1.1.0(#59)","","","iPhone 的弹框太小了，建议优化","","4","4","代码错误","IOS","","[步骤]
iPhone 的弹框太小了，建议优化
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2018-10-29","AC_iphone1.1_10.27(#99)","Closed","2018-11-05","俞立荣","已解决","AC-iphone1.1.1 - 11.1(#121)","2018-11-01","carriere.zhang","2018-11-05","0","","","carriere.zhang","2018-11-05","",""
"1750","AC-直播学生端(#10)","通用(#16)","AC_Windows_1.1.0(#61)","","","新用户登陆会来到完善信息页，信息未完善退出，重新打开客户端直接登陆未来到完善信息页。","","3","3","代码错误","Windows","","[步骤][结果][期望]","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-29","主干(#trunk)","Closed","2018-10-29","马瑞君","已解决","主干(#trunk)","2018-10-29","许宁","2018-10-29","0","","","许宁","2018-10-29","",""
"1751","AC-直播学生端(#10)","通用(#16)","AC_Windows_1.1.0(#61)","","","作业评分页面出现空白异常。","","3","3","代码错误","","","[步骤]
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-29","主干(#trunk)","Closed","2018-10-30","马瑞君","已解决","主干(#trunk)","2018-10-30","许宁","2018-10-30","0","","","许宁","2018-10-30","",""
"1752","AC-直播学生端(#10)","通用(#16)","AC_Windows_1.1.0(#61)","","","ngk页面下需要显示此用户下所有的上课记录，包括L0和L1课程。","","2","2","代码错误","Windows","","[步骤][结果][期望]","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-29","主干(#trunk)","Closed","2018-10-30","马瑞君","已解决","主干(#trunk)","2018-10-30","许宁","2018-10-30","0","","","许宁","2018-10-30","",""
"1753","AC-直播学生端(#10)","通用(#16)","AC_Android_1.1.0(#63)","","","作业做完一题点击下一题后闪退。","","3","3","代码错误","Windows","","[步骤][结果][期望]","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-29","主干(#trunk)","Closed","2018-10-30","盛锋","已解决","v10.30 am android 1.0.75(#110)","2018-10-30","许宁","2018-10-30","0","","","许宁","2018-10-30","",""
"1754","AC-直播学生端(#10)","通用(#16)","AC_Android_1.1.0(#63)","","","课程阶段页面作业星星显示异常。","","3","3","代码错误","Windows","","[步骤][结果][期望]","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-29","主干(#trunk)","Closed","2018-10-30","盛锋","已解决","v10.30 am android 1.0.75(#110)","2018-10-30","许宁","2018-10-30","0","","","许宁","2018-10-30","",""
"1755","AC-直播学生端(#10)","通用(#16)","AC_iPad_1.1.0(#60)","","","最近学习页点击 超过24小时且没有做作业的课次，做完作业后仍显示未做完作业的状态","","3","3","代码错误","IOS","","[步骤]
测试服
1.最近学习页点击
2.超过24小时且没有做作业的课次，做完作业后，课次详情显示钻石为0
3.最近学习页该课次仍显示未做完作业的状态-------","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2018-10-30","iPad1.1-10-27测试(#94)","Closed","2018-11-07","龚慧超","已解决","AC_iPad_1030(#111)","2018-10-30","carriere.zhang","2018-11-07","0","","","carriere.zhang","2018-11-07","",""
"1758","AC-直播学生端(#10)","通用(#16)","AC_Windows_1.1.0(#61)","","","退出绘本页的弹窗将文案修改为：“是否离开绘本页”。","","3","3","代码错误","Windows","","[步骤]
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-30","主干(#trunk)","Closed","2018-10-30","马瑞君","已解决","主干(#trunk)","2018-10-30","许宁","2018-10-30","0","","","许宁","2018-10-30","",""
"1759","AC-直播学生端(#10)","通用(#16)","AC_Windows_1.1.0(#61)","","","作业做完点击完成进不了评分页，弹窗提示上传失败。","","2","2","代码错误","Windows","","[步骤]
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-30","主干(#trunk)","Closed","2018-10-30","马瑞君","外部原因","主干(#trunk)","2018-10-30","许宁","2018-10-30","0","","","许宁","2018-10-30","",""
"1760","AC-直播学生端(#10)","通用(#16)","AC_Windows_1.1.0(#61)","","","课后看绘本未增加钻石。","","2","2","代码错误","Windows","","[步骤][结果][期望]","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-30","主干(#trunk)","Closed","2018-10-30","马瑞君","已解决","主干(#trunk)","2018-10-30","许宁","2018-10-30","0","","","许宁","2018-10-30","",""
"1761","AC-直播学生端(#10)","通用(#16)","AC_iPad_1.1.1(#71)","","","完善信息界面的背景变成空白","","3","3","代码错误","","","[步骤]
完善信息界面的背景变成空白
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2018-10-30","AC_iPad_1030(#111)","Closed","2018-11-05","龚慧超","已解决","AC_iPad_1030(#111)","2018-10-30","carriere.zhang","2018-11-05","0","","","carriere.zhang","2018-11-05","",""
"1762","AC-直播学生端(#10)","通用(#16)","AC_Windows_1.1.0(#61)","","","离开教室弹窗“留下”与“离开”按钮反了，需替换位置。","","3","3","代码错误","Windows","","[步骤]
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-30","主干(#trunk)","Closed","2018-11-24","姜文乐","已解决","主干(#trunk)","2018-10-31","姜文乐","2018-11-24","0","","","姜文乐","2018-11-24","",""
"1763","AC-直播学生端(#10)","通用(#16)","AC_Windows_1.1.0(#61)","","","课程详情页面UI需要优化。","","3","3","代码错误","Windows","","[步骤]
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-30","主干(#trunk)","Closed","2018-10-30","姜文乐","已解决","主干(#trunk)","2018-10-30","许宁","2018-10-30","0","","","许宁","2018-10-30","",""
"1764","AC-直播学生端(#10)","通用(#16)","AC_Windows_1.1.0(#61)","","","作业页面未弹上课提示。","","3","3","代码错误","Windows","","[步骤]
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-30","主干(#trunk)","Closed","2018-10-31","马瑞君","已解决","主干(#trunk)","2018-10-30","许宁","2018-10-31","0","","","许宁","2018-10-31","",""
"1767","AC-直播学生端(#10)","通用(#16)","AC_Windows_1.1.0(#61)","","","未购课用户看不到当前已有的课次。","","2","2","代码错误","Windows","","[步骤]
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-30","主干(#trunk)","Closed","2018-10-30","马瑞君","已解决","主干(#trunk)","2018-10-30","许宁","2018-10-30","0","","","许宁","2018-10-30","",""
"1769","AC-直播学生端(#10)","通用(#16)","AC_iPad_1.1.1(#71)","","","学生看完回放后 总钻石数量没有加上","","2","2","代码错误","全部","","[步骤]
学生看完回放后 总钻石数量没有加上
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2018-10-30","AC_iPad_1030(#111)","Closed","2018-10-30","carriere.zhang","外部原因","AC_iPad_1030(#111)","2018-10-30","carriere.zhang","2018-10-30","0","","","carriere.zhang","2018-10-30","",""
"1770","AC-直播学生端(#10)","通用(#16)","AC_iPad_1.1.0(#60)","","","学生看完回放后 总钻石数量没有加上","","3","3","代码错误","全部","","[步骤]
学生看完回放后 总钻石数量没有加上
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2018-10-30","主干(#trunk)","Closed","2018-10-30","carriere.zhang","外部原因","","2018-10-30","carriere.zhang","2018-10-30","0","","","carriere.zhang","2018-10-30","",""
"1773","AC-直播学生端(#10)","通用(#16)","AC_iPad_1.1.1(#71)","","","看完回放后，总钻石没有加上","","2","2","代码错误","全部","","[步骤]
看完回放后有钻石奖励框，详情也显示增加了钻石
总钻石数量没有加
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2018-10-30","AC_iPad_1030(#111)","Closed","2018-11-07","郭栋梁","已解决","主干(#trunk)","2018-10-30","carriere.zhang","2018-11-07","0","","","carriere.zhang","2018-11-07","",""
"1774","AC-直播学生端(#10)","通用(#16)","AC_Windows_1.1.0(#61)","","","ngk课程页面，具体课次总的钻石数未显示目前显示为0，作业后还是保持未做作业状态，作业星星也不显示。","","2","2","代码错误","Windows","","[步骤]
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-30","主干(#trunk)","Closed","2018-10-30","马瑞君","已解决","主干(#trunk)","2018-10-30","许宁","2018-10-30","0","","","许宁","2018-10-30","",""
"1776","AC-直播学生端(#10)","通用(#16)","AC_Windows_1.1.0(#61)","","","课程阶段页面，左侧第一节课无法被选中来到页面中心，所以这节课无法从阶段页面进入到课程详情页。","","2","2","代码错误","Windows","","[步骤]
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-30","主干(#trunk)","Closed","2018-10-31","姜文乐","已解决","主干(#trunk)","2018-10-30","许宁","2018-10-31","0","","","许宁","2018-10-31","",""
"1777","AC-直播学生端(#10)","通用(#16)","AC_Windows_1.1.0(#61)","","","课程阶段页面，点击下一页再点击上一页此时左侧第一个课次记录会消失。","","2","2","代码错误","Windows","","[步骤]
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","许宁","2018-10-30","主干(#trunk)","Closed","2018-10-31","姜文乐","已解决","主干(#trunk)","2018-10-30","许宁","2018-10-31","0","","","许宁","2018-10-31","",""
